instrument,K,T,model,price,delta,gamma,vega,theta,vega_param
ATM_call,7457.69,1.0,BS,617.3181543385426,0.6220414934835359,0.00031693365017628817,2834.7901905992576,-377.2710956679557,sigma
ATM_call,7457.69,1.0,Merton,667.760370746328,0.6798192944166142,0.0002809205021372631,1887.7743241131586,-427.9659652033961,sigma
ATM_call,7457.69,1.0,VG,678.0327377359296,0.6599422214445454,0.0002643856853530298,1879.1933284772801,-412.18192958941654,sigma
ATM_call,7457.69,1.0,NIG,677.963732465703,0.6670556782398211,0.0002657934629374373,797.4294500785937,-418.209760043364,delta
ATM_call,7457.69,1.0,CGMY,675.2359041263676,0.683871256318037,0.00028501097521773343,15097.26559007027,-437.9061878105922,C
ATM_call,7457.69,1.0,Heston,693.4548433892357,0.7221802422696911,0.0002404144691805613,666.506357299873,-462.0971463188721,v0
ATM_call,7457.69,1.0,Bates,692.6174736401729,0.7240881775760655,0.0002435800723842015,798.535015468193,-463.2844857106338,v0
OTM_put_0.9,6711.920999999999,1.0,BS,114.9120848178618,-0.16704301322752504,0.00020860640065926647,1865.6422028427598,-99.71698657669185,sigma
OTM_put_0.9,6711.920999999999,1.0,Merton,186.83302254247155,-0.15673622359414896,0.0001429286347463593,960.347635948666,-125.92862258453897,sigma
OTM_put_0.9,6711.920999999999,1.0,VG,181.02023297485448,-0.1723851755520593,0.00016289980173389554,1350.231560497328,-122.8248751295796,sigma
OTM_put_0.9,6711.920999999999,1.0,NIG,185.75950094738982,-0.16748358125810175,0.0001574825901410362,552.0531775043588,-126.02632538577018,delta
OTM_put_0.9,6711.920999999999,1.0,CGMY,198.7549886197976,-0.146492898483611,0.00015043987701373837,10682.566551284679,-145.889434160792,C
OTM_put_0.9,6711.920999999999,1.0,Heston,230.0191436189216,-0.14236656759440244,0.00011824775768725561,478.87873085724016,-159.10692660889617,v0
OTM_put_0.9,6711.920999999999,1.0,Bates,231.4156137673781,-0.13891357968835147,0.00011870723295720947,546.5493575793977,-162.47265578583756,v0
ATM_digital_call,7457.69,1.0,BS,0.5392943507130165,0.0003169059462284406,-8.214248909248672e-08,-0.7349806084530291,-0.008569811336511357,sigma
ATM_digital_call,7457.69,1.0,Merton,0.590330955880491,0.00028090682971510536,-1.8909500668748776e-07,-1.2712055957992783,0.030448692560207213,sigma
ATM_digital_call,7457.69,1.0,VG,0.569061392349411,0.0002643753367618235,-1.2386278921372553e-07,-0.491660439735783,0.02388728560784159,sigma
ATM_digital_call,7457.69,1.0,NIG,0.5761873395525025,0.0002657839654654408,-1.38200811032901e-07,-0.24276085676316125,0.026658345766384706,delta
ATM_digital_call,7457.69,1.0,CGMY,0.593376766845057,0.0002849962582657549,-1.7159179417596542e-07,-4.06860727238234,0.01692152261406976,C
ATM_digital_call,7457.69,1.0,Heston,0.6292501376602185,0.00024042783055805403,-2.1141047282426714e-07,-0.20808234015397103,0.046777729774758914,v0
ATM_digital_call,7457.69,1.0,Bates,0.6312706931267623,0.00024359171448629972,-2.1244803934602713e-07,-0.2909636967015578,0.04229703791274586,v0
